"BUDGET_YEAR","GROUP_NAME","OCTOBER","NOVEMBER","DECEMBER","JANUARY","FEBUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","UPDATE_DATE"
"2563","ภาษีสินค้าอื่นๆ(ผลิตภัณฑ์ที่ใช้เป็นเครื่องดื่ม)","             46690131.3300","             35104500.9100","             30938685.9600","             25152568.7600","             30592203.8600","             34048594.3400","             48069135.5200","             49252637.1300","             43964404.7300","             44969159.1200","             34937668.6200","             32256210.7400","2566-08-11"
"2563","รายได้เบ็ดเตล็ด","             92725021.5500","            101949686.5400","            162512516.5000","            104322933.8600","             58172966.5900","             50513529.7000","             38560481.7300","             42621617.2300","             46466398.2600","             60151273.4800","             54792085.3100","             39024618.4000","2566-08-11"
"2563","ภาษีสนามกอล์ฟ","             35018171.0700","             40957688.8700","             52510336.4400","             64878943.3200","             71230937.2900","             63734614.2500","             13297125.7300","              3138840.0100","             20800140.9200","             52327124.6100","             21261983.9600","             15583684.2600","2566-08-11"
"2563","ภาษีสถานอาบน้ำหรืออบตัวและนวด","              8242975.8600","              8264422.5300","              8497660.0300","              8295029.8900","              8417411.1000","              6859846.0000","              1057048.6000","               263485.2200","               322144.8700","              1229567.7400","              2330281.9900","              2388359.1100","2566-08-11"
"2563","ภาษีรถยนต์","          10687385222.7500","           9792166267.3100","           9408073975.2000","           8097477615.8800","           8563236273.2200","           8489877651.2900","           4576449711.5000","           1993645600.9000","           2801131800.0400","           6990234771.4500","           6572343531.1800","           7448237922.3700","2566-08-11"
"2563","ภาษีรถจักรยานยนต์","            333820935.8800","            350653066.3000","            373509014.9200","            266134360.6400","            295197213.9400","            356571477.4000","            262709212.7600","            110526396.5100","            134268947.3600","            249115140.5200","            286465697.4300","            319545580.7500","2566-08-11"
"2563","ภาษียาสูบ","           4727920453.5000","           4436092171.9900","           5759333585.5400","           5752814470.4700","           5381180873.2500","           8421912109.1700","           3321628775.0200","           4960433205.7500","           4378669734.4200","           5923854719.0900","           5122355411.5600","           4718372416.5200","2566-08-11"
"2563","ภาษีผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","             43042565.2900","             42429732.8100","             34231329.3000","             36954508.0100","             44319882.1500","             35962615.1200","             96369747.3300","             24637387.4200","             29608278.2200","             28985661.5400","             53287591.5600","             64467692.2300","2566-08-11"
"2563","ภาษีน้ำมันและผลิตภัณฑ์น้ำมัน","          29484740261.4200","          16644189843.9000","          16945314885.0400","          23169529664.8800","          16865613252.2000","          17492755251.3000","           6587822654.7400","          14840601805.0400","          16660701709.5700","          29766094317.3000","          18340539419.9500","          17704814387.9500","2566-08-11"
"2563","ภาษีสุรา","           6051400453.7800","           6363696667.0000","           6202600545.8000","           6324740922.8500","           5225879620.8500","           5923599962.1300","           1491463162.5400","           3411183257.4700","           4743763672.6600","           5780360725.7100","           5133521328.4600","           5168242117.9300","2566-08-11"
"2563","ภาษีเครื่องดื่ม","           1847292773.3700","           2107844733.9300","           2087576435.2100","           2128721471.7900","           2115946786.1800","           2092770679.8700","           2353556891.8500","            688616997.8400","            652202162.8900","           4723865702.9600","           2035077493.1400","           2017047465.4300","2566-08-11"
"2563","ภาษีเบียร์","           6060921389.0600","           7447724254.2400","           8918740162.4100","           8726058149.0200","           6159977623.9400","           7691905522.5000","           8071191740.6400","             29137315.8200","             52877031.0100","          11972773158.7600","           8220732538.0200","           6674792703.8800","2566-08-11"
"2563","ภาษีแก้วและเครื่องแก้ว","                    0.0000","                    0.0100","                    0.0100","               153315.0200","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","2566-08-11"
